Article Number,Use of Data,Article Specifiers,
90,N,,
91,Y,Q,
92,Y,Q,
98,Y,,
99,N,,
101,N,,
105,N,,
107,S,,
113,Y,,
116,Y,,
125,Y,,
137,Y,Q,
142,Y,,
146,Y,,
150,Y,,
162,Y,Q,
164,N,O,
180,N,,
182,Y,,
185,N,,
190,N,O,
193,Y,OQ,
197,Y,,
208,Y,,
218,Y,,
219,Y,,
225,N,,
226,N,,
231,S,,
232,Y,Q,
234,Y,,
237,N,,
238,N,,
239,Y,O,
240,Y,,
241,N,Q,
245,I,,
250,Y,,
254,S,Q,
256,Y,,
269,Y,,
279,Y,,
289,Y,,
297,Y,,
300,S,Q,
312,N,,
313,Y,,
315,Y,,
317,Y,,
318,Y,,
319,Y,,
323,N,,
334,Y,,
338,Y,,
358,N,,
361,N,,
363,N,,
364,N,,
365,N,,
374,Y,,
385,N,,
390,S,,
399,N,Q,
429,Y,,
433,N,,
437,S,,
449,N,,
452,Y,,
453,Y,,
454,Y,Q,
459,N,,
485,N,,
487,Y,,
502,Y,,
505,Y,,
514,Y,,
520,Y,,
533,N,O,
536,Y,,
540,N,,
542,Y,,
554,Y,O,
558,S,,
578,Y,,
582,Y,Q,
583,N,,
588,Y,,
589,Y,,
601,Y,,
616,N,,
620,Y,,
621,Y,Q,
622,Y,,
632,S,,
634,Y,O,
637,Y,,
639,Y,O,
644,N,,
652,S,,
669,N,O,
677,Y,,
681,N,,
682,Y,,
696,S,,
702,N,,
709,Y,,
711,Y,,
715,Y,,
726,S,,
734,Y,O,
736,N,,
743,Y,,
773,N,,
776,N,,
780,I,,
784,N,,
787,Y,O,
792,Y,O,
795,Y,,
797,Y,O,
800,Y,,
802,Y,T,
818,N,,
823,Y,O,
828,N,O,
835,Y,Q,
843,Y,O,
848,I,,table of contents
855,Y,O,
856,Y,OQ,
860,N,,
862,Y,,
870,Y,,
874,N,OQ,
900,N,,
904,Y,,
907,N,O,
928,Y,,
929,Y,OQ,
936,Y,,
938,Y,O,
944,Y,O,
947,N,,
948,N,O,
951,Y,O,
959,N,O,
962,N,O,
964,N,O,
971,Y,OQ,
991,Y,O,
1013,I,O,
1023,S,O,
1028,Y,O,
1037,I,O,table of contents
1040,Y,T,
1047,Y,,
1058,Y,T,
1065,N,O,
1072,N,O,
1086,N,O,
1089,I,O,
1095,Y,T,
1102,Y,Q,
1109,I,O,
1112,Y,,
1124,Y,,
1126,Y,,
1133,N,O,
1154,Y,,
1157,Y,T,
1158,Y,O,
1162,N,O,
1171,I,T,
1185,N,OQ,
1196,N,,
1218,N,OQ,
1233,N,O,
1245,Y,,
1261,N,,
1262,Y,O,
1267,N,O,
1275,I,O,CV
1276,N,,
1277,N,O,
1307,Y,,
1308,Y,T,
1309,Y,,
1315,N,,
1347,S,T,
1349,Y,O,
1361,N,,
1368,I,T,
1369,I,O,
1372,I,O,
1378,Y,O,
1382,Y,T,
1388,Y,O,
1396,N,,
1402,Y,T,
1406,Y,O,
1411,Y,,
1412,Y,O,
1431,N,Q,
1437,Y,O,
1439,Y,,
1443,Y,O,
1445,Y,,
1451,N,,
1464,I,O,
1469,Y,O,
1473,Y,T,
1484,Y,,
1494,Y,O,
1495,Y,,
1504,N,O,
1514,Y,,
1519,Y,O,
1524,Y,O,
1533,Y,O,
1546,I,O,
1549,Y,,
1558,Y,O,
