Title,Authors,Year,Citations,URL
The Cognitive and Neural Architecture of Semantic Cognition: Evidence for Dissociable Distributed Systems from Multiple Methods,"Davey, James M",2015,0,http://etheses.whiterose.ac.uk/8949/
Cognición no social y neuroimagen en TEA sin discapacidad intelectual,"Merchan Naranajo, Jessica",2016,0,http://eprints.ucm.es/37564/
Dynamic fMRI brain connectivity: A study of the brain's large-scale network dynamics,"Brantefors, Per",2016,0,http://www.diva-portal.org/smash/record.jsf?pid=diva2:896404
STATISTICAL METHODS TO ANALYZE MASSIVE HIGH-DIMENSIONAL NEUROIMAGING DATA,"Chen, Shaojie",2015,0,https://jscholarship.library.jhu.edu/handle/1774.2/39524
"Malaak N. Moussa, Sean L. Simpson, Rhiannon E. Mayhugh, Robert G. Lyday, Linda J. Porrino, Paul J. Laurienti","SUBNETWORK, FRONTOPARIETAL ATTENTION",2015,0,https://wakespace.lib.wfu.edu/bitstream/handle/10339/57165/Moussa_wfu_0248D_10740.pdf#page=119
MAPPING BRAIN NETWORKS AND THEIR DYSFUNCTION IN AUTISM: FUNCTIONAL CONNECTIVITY ANALYSIS,"Dombrecht, Laure & Masterproef, I",2015,0,http://lib.ugent.be/fulltxt/RUG01/002/216/737/RUG01-002216737_2015_0001_AC.pdf
Toward connectomic deep brain stimulation,"Horn, Andreas",2016,0,http://www.diss.fu-berlin.de/diss/receive/FUDISS_thesis_000000103109
磁共振神经影像数据分类方法的研究及其应用,戴岱 & others,2012,0,http://ir.ia.ac.cn/handle/173211/7635
Bayesian Feature Selection Methods for Complex Biomedical Data,"Zhao, Yize",2014,0,http://gradworks.umi.com/36/39/3639946.html
STATISTICAL METHODS FOR BRAIN IMAGING AND GENOMIC DATA ANALYSIS,"Yang, Juemin",2015,0,https://jscholarship.library.jhu.edu/handle/1774.2/37876
A graph theory study of regional and network functional connectivity in autism spectrum disorders,"Keown, Christopher Lee",2013,0,http://sdsu-dspace.calstate.edu/handle/10211.10/5024
Functional neuroanatomy of cerebello-cerebral systems,"Kipping, Judy Anett",2015,0,http://www.diss.fu-berlin.de/diss/receive/FUDISS_thesis_000000099020
The challenge of applying machine learning techniques to diagnose schizophrenia using multi-site fMRI data,"Romero, Roberto Ivan Vega",2017,0,http://papersdb.cs.ualberta.ca/~papersdb/uploaded_files/1155/paper_VegaRomero_Roberto_I_201701_MSc.pdf
Dysconnection of functional network in Schizophrenia: a ROI-based model approach,"Lin, YiHui & Huang, JiunYan",,0,http://www.comp.nus.edu.sg/~wongls/psZ/giw2013/accepted-posters/poster32.pdf
Applications To Human Brain Functional Networks,"Arsiwalla, Xerxes D & Zucca, Riccardo & Verschure, Paul",,0,https://www.upf.edu/csim/_pdf/_BestTheses/HoangLe_2012-13.pdf
Characterization of normal and pathological patterns of diffusion anisotropy with diffusion tensor imaging,"Jakab, Andras",,0,https://www.researchgate.net/profile/Andras_Jakab/publication/224906027_Characterization_of_normal_and_pathological_patterns_of_diffusion_anisotropy_with_diffusion_tensor_imaging/links/54b6498f0cf26833efd36dd4.pdf
Computational Medical Image Analysis,"Eklund, Anders",,0,http://citeseerx.ist.psu.edu/viewdoc/download?doi=10.1.1.364.6159&rep=rep1&type=pdf
