country,count
CA,141
CL,5
ME,4
DE,194
IT,70
SG,12
SA,1
PK,1
BR,42
IN,8
NL,60
MK,2
CU,1
HK,5
IE,18
DK,11
PL,2
FI,10
MX,10
VN,3
ES,24
CN,317
AT,19
MY,3
SE,11
CY,4
SI,4
TR,1
JP,65
AR,2
ZA,1
GR,2
NO,5
TW,36
GB,179
AU,59
RO,1
US,1439
CH,37
KR,29
HU,10
IL,11
IR,1
FR,80
NZ,2
BE,22
