year	neuroTotal	neuroFree	rsTotal	rsFree
1995	94	9	1	0
1996	142	17	0	0
1997	229	32	3	1
1998	332	62	2	1
1999	477	68	2	0
2000	627	103	3	1
2001	768	113	5	3
2002	886	149	8	2
2003	1127	179	5	2
2004	1397	234	12	1
2005	1799	389	21	0
2006	2040	518	35	3
2007	2359	842	52	4
2008	2445	1008	94	5
2009	2799	1224	146	15
2010	3217	1279	245	142
2011	3601	879	418	108
2012	1635	172	98	13
