Article Number,Use of Data,Article Specifiers,
316,Y,,
328,Y,,
335,Y,,
347,N,,
348,Y,,
357,I,,
362,Y,,
367,Y,,
368,S,,
370,Y,,
371,Y,,
380,Y,Q,
382,N,,
383,N,,
386,N,,
391,Y,O,
392,Y,,
396,Y,,
400,Y,,Journal Article
403,Y,,
426,N,Q,
439,S,O,
440,N,,
442,Y,,
450,Y,,
455,N,,
460,Y,,
470,N,Q,
488,N,,
490,N,QO,
493,Y,,
503,I,Q,
513,N,,Journal
519,N,Q,
523,S,Q,
531,N,,
546,N,,
547,Y,,Journal
553,N,,
555,N,,
557,Y,,
564,Y,,
565,N,,
566,N,,
567,N,,
571,Y,,
572,Y,,
573,Y,,
577,I,,
585,N,,
591,N,,
595,Y,,
597,Y,,
608,Y,,
619,N,,
624,N,,
640,Y,,
654,Y,,
661,N,,
662,N,,
664,N,,
668,Y,,
670,Y,,
672,S,Q,Contributed scripts to fcp-indi
688,Y,,
689,Y,,
690,N,,
692,Y,O,
694,Y,,
729,Y,O,
731,Y,,
732,Y,,
733,Y,,
738,Y,O,
740,N,Q,
749,Y,,
750,Y,O,
751,Y,,
762,Y,,
763,N,,
768,Y,,
777,Y,,
779,N,,
782,N,Q,
783,Y,,
801,Y,O,
805,Y,O,
813,Y,,
834,N,,
841,Y,,
863,Y,,
864,N,,
865,N,,
889,N,,
893,Y,,
897,Y,,
898,Y,O,
906,Y,,
916,Y,O,
918,N,,
919,Y,O,
920,Y,,
921,Y,,
923,Y,,
924,Y,Q,
932,N,O,
966,N,,Journal
975,Y,O,
976,Y,,
977,Y,,
978,Y,,
980,I,O,
987,Y,T,
988,Y,,
999,Y,O,
1014,Y,O,
1017,Y,QO,Redirects to ABIDE site
1021,N,O,
1034,N,T,
1048,Y,T,
1052,Y,O,
1054,Y,Q,
1056,Y,O,
1067,Y,,
1074,N,O,
1076,Y,T,
1077,I,O,
1080,N,,Journal
1094,I,,
1098,I,,
1099,Y,O,
1104,N,,Application
1106,Y,O,Patent application
1122,Y,O,
1125,Y,,
1129,Y,,
1132,N,,
1136,Y,Q,
1141,S,T,
1148,Y,,
1165,Y,T,
1172,N,,
1174,Y,,
1190,Y,O,
1194,Y,,
1198,Y,Q,
1199,I,,
1204,N,T,
1213,Y,O,
1222,Y,,
1224,Y,,
1239,N,O,
1240,Y,O,
1268,Y,,
1274,Y,O,
1281,Y,O,
1291,Y,T,
1295,Y,,
1299,N,O,the pdf is an entire issue of a journal
1302,N,O,
1312,N,,
1318,N,O,
1320,N,,
1321,I,,"japanese article, page server down"
1323,N,,
1350,Y,O,
1359,N,,
1384,Y,O,
1390,Y,,
1391,N,T,
1393,N,,
1394,N,QO,brainhack review article
1404,Y,O,
1408,N,T,
1418,Y,,
1419,N,,
1422,N,O,
1436,N,,
1440,Y,O,
1447,N,,
1448,I,O,
1460,Y,O,
1463,N,,
1466,Y,,
1468,Y,,
1482,Y,Q,
1501,Y,T,
1503,Y,O,"preprint, but has been published elsewhere"
1507,Y,,
1509,N,,
1511,N,,
1513,Y,,
1515,N,,
1527,Y,O,
1534,Y,O,
1547,N,T,
