,Journal
bridging the gap before and after birth: methods and technologies to explore the functional neural development in humans,1
adhd attention deficit and hyperactivity disorders,1
arxiv preprint arxiv:1609.05148,1
arxiv preprint arxiv:1509.00882,1
journal of computing science and engineering,1
neuroscience letters,1
science bulletin,1
stroke,1
journal of multivariate analysis,1
ieee journal of biomedical and health informatics,1
journal of clinical neuroscience,1
the vldb journal,1
神経心理学,1
информатика и её применения,1
genetics and molecular research,1
pain,1
acta neurobiol exp,1
autism open access,1
translational psychiatry,1
arxiv preprint arxiv:1603.06138,1
psychiatry and clinical neurosciences,1
journal of evolution \& technology,1
frontiers in neurology,1
physica a: statistical mechanics and its applications,1
magnetic resonance imaging,1
revue d'anthropologie des connaissances,1
creative education,1
medicine,1
scientia sinica vitae,1
appetite,1
biosocieties,1
front. neurosci,1
online journal of public health informatics,1
chaos: an interdisciplinary journal of nonlinear science,1
analytical methods,1
arxiv preprint arxiv:1509.02697,1
心理科学进展,1
arxiv preprint arxiv:1609.04523,1
biometrika,1
encycl. autism spectr. disord,1
